,groups_sup,Male_human_Good,Female_not_human_Good,Male_not_human_Good,Male_human_Bad,Male_not_human_Bad,Male_not_human_Neutral,Female_human_Good,,Female_not_human_Bad,Female_not_human_Neutral,Female_human_Bad,,,Female_human_Neutral,Male_human_Neutral,,,
0,AVG(energy_powers),0.7740112994350282,0.7570093457943925,0.9846938775510204,0.5979381443298969,1.1666666666666667,0.9117647058823529,0.5757575757575758,0.0,0.6774193548387096,2.0,0.3,1.5,1.1578947368421053,0.3333333333333333,0.75,1.8333333333333333,1.0,1.0
1,AVG(matter_powers),0.3728813559322034,0.18691588785046728,0.40816326530612246,0.1958762886597938,0.5,0.3235294117647059,0.15151515151515152,0.0,0.45161290322580644,0.6428571428571429,0.2,0.8333333333333334,0.5789473684210527,0.08333333333333333,0.3333333333333333,0.5833333333333334,0.25,0.5
2,AVG(self_powers),0.2768361581920904,0.18691588785046728,0.336734693877551,0.21649484536082475,0.5666666666666667,0.4411764705882353,0.19696969696969696,0.0,0.3870967741935484,0.8571428571428571,0.2,1.3333333333333333,0.5263157894736842,0.25,0.4166666666666667,0.16666666666666666,0.0,1.0
3,AVG(reality_powers),0.2655367231638418,0.1308411214953271,0.30612244897959184,0.27835051546391754,0.49333333333333335,0.6470588235294118,0.15151515151515152,0.0,0.3548387096774194,0.7857142857142857,0.2,1.6666666666666667,0.8947368421052632,0.3333333333333333,0.2916666666666667,0.25,0.25,0.5
4,AVG(mind_powers),0.6440677966101694,0.3177570093457944,0.6887755102040817,0.7628865979381443,0.7466666666666667,0.7647058823529411,0.6060606060606061,1.0,0.5483870967741935,0.7142857142857143,0.95,1.1666666666666667,0.8947368421052632,0.3333333333333333,0.9583333333333334,0.5,0.25,1.0
5,AVG(resistance_powers),0.576271186440678,0.308411214953271,0.8214285714285714,0.31958762886597936,0.9933333333333333,1.4411764705882353,0.25757575757575757,2.0,0.8064516129032258,0.9285714285714286,0.2,2.0,0.7368421052631579,0.0,0.3333333333333333,0.8333333333333334,1.0,1.0
6,AVG(invulnerability),1.0169491525423728,0.7289719626168224,1.5459183673469388,0.8969072164948454,1.7866666666666666,3.6470588235294117,0.6212121212121212,1.0,1.8064516129032258,1.7857142857142858,0.55,4.166666666666667,1.8421052631578947,0.75,1.125,1.0833333333333333,0.25,1.5
7,AVG(supersenses),0.2542372881355932,0.2803738317757009,0.47959183673469385,0.13402061855670103,0.41333333333333333,1.088235294117647,0.21212121212121213,0.0,0.45161290322580644,0.7142857142857143,0.25,1.0,0.3157894736842105,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.0,1.0
8,AVG(stamina),1.2994350282485876,0.897196261682243,1.336734693877551,1.2164948453608246,1.2933333333333332,2.2941176470588234,1.0151515151515151,3.0,1.2580645161290323,1.1428571428571428,1.2,2.0,1.1578947368421053,1.0,1.625,0.8333333333333334,1.0,1.5
9,AVG(capabilities),1.7062146892655368,1.0560747663551402,1.3673469387755102,1.422680412371134,1.02,2.411764705882353,1.6363636363636365,3.0,1.2903225806451613,2.0714285714285716,2.05,1.8333333333333333,1.0526315789473684,1.9166666666666667,2.375,0.8333333333333334,0.5,2.0
10,AVG(jump_flight),0.3502824858757062,0.3925233644859813,0.4642857142857143,0.30927835051546393,0.44,0.7941176470588235,0.3181818181818182,0.0,0.3548387096774194,0.7142857142857143,0.25,0.8333333333333334,0.5789473684210527,0.08333333333333333,0.25,0.5833333333333334,1.0,1.0
11,AVG(stealth),0.4971751412429379,0.19626168224299065,0.22448979591836735,0.3917525773195876,0.21333333333333335,0.5588235294117647,0.4090909090909091,0.0,0.1935483870967742,0.14285714285714285,0.5,0.5,0.2631578947368421,0.5833333333333334,0.6666666666666666,0.0,0.0,0.0
12,AVG(weapons),0.864406779661017,0.2803738317757009,0.4489795918367347,0.8762886597938144,0.5466666666666666,1.0294117647058822,0.7424242424242424,2.0,0.2903225806451613,0.35714285714285715,1.0,0.3333333333333333,0.6842105263157895,1.25,1.3333333333333333,0.5,0.5,0.5
13,AVG(speed),0.3050847457627119,0.35514018691588783,0.44387755102040816,0.26804123711340205,0.3933333333333333,0.6764705882352942,0.25757575757575757,0.0,0.41935483870967744,0.7857142857142857,0.25,0.8333333333333334,0.42105263157894735,0.08333333333333333,0.3333333333333333,0.5,0.25,0.0
14,AVG(strength),0.3728813559322034,0.45794392523364486,0.6326530612244898,0.3917525773195876,0.6733333333333333,0.9117647058823529,0.30303030303030304,0.0,0.7419354838709677,0.7857142857142857,0.3,0.8333333333333334,0.5789473684210527,0.0,0.375,0.6666666666666666,0.75,0.5
